number,title,query_base,query_synonym,query_antonym
1,What is the difference between sex and love?,difference sex and love,different unlike dissimilar difference sex love,worsen evil badly difference sex love
2,"Which is better, a laptop or a desktop?",better laptop or desktop,good well improve laptop desktop,evil worsen badly laptop desktop
3,"Which is better, Canon or Nikon?",better Canon or Nikon,good well improve Canon Nikon,evil worsen badly Canon Nikon
4,What are the best dish detergents?,best dish detergents,better good well detergents,ill evil badly detergents
5,What are the best cities to live in?,best cities live,better good well cities,ill evil badly cities
6,What is the longest river in the U.S.?,longest river U.S.,long tenacious retentive river U.S.,short unretentive river U.S.
7,"Which is healthiest: coffee, green tea or black tea and why?",healthiest coffee green tea or black tea and,healthy levelheaded level-headed coffee tea tea,unhealthy coffee tea tea
8,What are the advantages and disadvantages of PHP over Python and vice versa?,advantages and disadvantages PHP Python and vice versa,different unlike dissimilar advantages disadvantages PHP Python vice,worsen evil badly advantages disadvantages PHP Python vice
9,Why is Linux better than Windows?,Linux better Windows,good well improve Linux Windows,evil worsen badly Linux Windows
10,How to sleep better?,sleep better,nap rest slumber,wake
11,Should I buy an LCD TV or a plasma TV?,buy LCD TV or plasma TV,purchase steal bargain LCD TV plasma TV,sell LCD TV plasma TV
12,Train or plane? Which is the better choice?,Train or plane better choice,Train plane choice,worsen badly evil Train plane choice
13,What is the highest mountain on Earth?,highest mountain Earth,high eminent high-pitched mountain Earth,low mountain Earth
14,Should one prefer Chinese medicine or Western medicine?,prefer Chinese medicine or Western medicine,choose opt favor medicine medicine,badly evil worsen medicine medicine
15,What are the best washing machine brands?,best washing machine brands,better good well washing machine brands,ill evil badly washing machine brands
16,Should I buy or rent?,buy or rent,purchase steal bargain,sell
17,"Do you prefer cats or dogs, and why?",prefer cats or dogs and,choose opt favor cats dogs,badly evil worsen cats dogs
18,What is the better way to grill outdoors: gas or charcoal?,better way grill outdoors gas or charcoal,good well improve way gas charcoal,evil worsen badly way gas charcoal
19,"Which is better, MAC or PC?",better MAC or PC,good well improve MAC PC,evil worsen badly MAC PC
20,What is better: to use a brush or a sponge?,better use brush or sponge,good well improve brush sponge,evil worsen badly brush sponge
21,"Which is better, Linux or Microsoft?",better Linux or Microsoft,good well improve Linux Microsoft,evil worsen badly Linux Microsoft
22,"Which is better, Pepsi or Coke?",better Pepsi or Coke,good well improve Pepsi Coke,evil worsen badly Pepsi Coke
23,"What is better, Google search or Yahoo search?",better Google search or Yahoo search,good well improve Google search Yahoo search,evil worsen badly Google search Yahoo search
24,"Which one is better, Netflix or Blockbuster?",one better Netflix or Blockbuster,good well improve one Netflix Blockbuster,evil worsen badly one Netflix Blockbuster
25,"Which browser is better, Internet Explorer or Firefox?",browser better Internet Explorer or Firefox,good well improve browser Internet Explorer Firefox,evil worsen badly browser Internet Explorer Firefox
26,Which is a better vehicle: BMW or Audi?,better vehicle BMW or Audi,good well improve vehicle BMW Audi,evil worsen badly vehicle BMW Audi
27,"Which one is better, an electric stove or a gas stove?",one better electric stove or gas stove,good well improve one stove gas stove,evil worsen badly one stove gas stove
28,"What planes are best, Boeing or Airbus?",planes best Boeing or Airbus,better good well planes Boeing Airbus,ill evil badly planes Boeing Airbus
29,"Which is better, Disneyland or Disney World?",better Disneyland or Disney World,good well improve Disneyland Disney World,evil worsen badly Disneyland Disney World
30,Should I buy an Xbox or a PlayStation?,buy Xbox or PlayStation,purchase steal bargain Xbox PlayStation,sell Xbox PlayStation
31,"Which has more caffeine, coffee or tea?",more caffeine coffee or tea,caffeine coffee tea,fewer less caffeine coffee tea
32,"Which is better, LED or LCD Reception Displays?",better LED or LCD Reception Displays,good well improve LED LCD Reception Displays,evil worsen badly LED LCD Reception Displays
33,What is better: ASP or PHP?,better ASP or PHP,good well improve ASP PHP,evil worsen badly ASP PHP
34,"What is better for the environment, a real or a fake Christmas tree?",better environment real or fake Christmas tree,good well improve environment Christmas tree,evil worsen badly environment Christmas tree
35,Do you prefer tampons or pads?,prefer tampons or pads,choose opt favor tampons pads,badly evil worsen tampons pads
36,What IDE is better for Java: NetBeans or Eclipse?,IDE better Java NetBeans or Eclipse,good well improve IDE Java NetBeans Eclipse,evil worsen badly IDE Java NetBeans Eclipse
37,Is OpenGL better than Direct3D in terms of portability to different platforms?,OpenGL better terms portability different platforms,good well improve OpenGL terms portability platforms,evil worsen badly OpenGL terms portability platforms
38,What are the differences between MySQL and PostgreSQL in performance?,differences MySQL and PostgreSQL performance,different unlike dissimilar differences MySQL PostgreSQL performance,worsen evil badly differences MySQL PostgreSQL performance
39,Is Java code more readable than code written in Scala?,Java code more readable code Scala,Java code code Scala,fewer less Java code code Scala
40,Which operating system has better performance: Windows 7 or Windows 8?,system better performance Windows 7 or Windows 8,good well improve system performance Windows Windows,evil worsen badly system performance Windows Windows
41,Which smartphone has a better battery life: Xperia or iPhone?,smartphone better battery life Xperia or iPhone,good well improve smartphone battery life Xperia iPhone,evil worsen badly smartphone battery life Xperia iPhone
42,Which four wheel truck is better: Ford or Toyota?,four wheel truck better Ford or Toyota,4 quartet iv wheel truck Ford Toyota,worsen evil badly wheel truck Ford Toyota
